Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.1	100	10.0	0.0	10	0	0.21
[784, 30, 10]	0.1	100	10.0	0.0	30	0	0.42
[784, 30, 10]	0.1	100	10.0	0.1	10	0	0.08
[784, 30, 10]	0.1	100	10.0	0.1	30	0	0.08
[784, 30, 10]	0.1	100	10.0	0.5	10	0	0.08
[784, 30, 10]	0.1	100	10.0	0.5	30	0	0.08
[784, 30, 10]	0.1	100	10.0	0.9	10	0	0.08
[784, 30, 10]	0.1	100	10.0	0.9	30	0	0.08
[784, 30, 10]	0.1	100	100.0	0.0	10	0	0.08
[784, 30, 10]	0.1	100	100.0	0.0	30	0	0.15
[784, 30, 10]	0.1	100	100.0	0.1	10	0	0.08
[784, 30, 10]	0.1	100	100.0	0.1	30	0	0.08
[784, 30, 10]	0.1	100	100.0	0.5	10	0	0.08
[784, 30, 10]	0.1	100	100.0	0.5	30	0	0.08
[784, 30, 10]	0.1	100	100.0	0.9	10	0	0.08
[784, 30, 10]	0.1	100	100.0	0.9	30	0	0.08
[784, 30, 10]	0.1	1000	0.0	0.0	10	0	0.28
[784, 30, 10]	0.1	1000	0.0	0.0	30	0	0.5
[784, 30, 10]	0.1	1000	0.0	0.1	10	0	0.08
[784, 30, 10]	0.1	1000	0.0	0.1	30	0	0.08
[784, 30, 10]	0.1	1000	0.0	0.5	10	0	0.08
[784, 30, 10]	0.1	1000	0.0	0.5	30	0	0.08
[784, 30, 10]	0.1	1000	0.0	0.9	10	0	0.08
[784, 30, 10]	0.1	1000	0.0	0.9	30	0	0.08
[784, 30, 10]	0.1	1000	0.01	0.0	10	0	0.18
[784, 30, 10]	0.1	1000	0.01	0.0	30	0	0.49
[784, 30, 10]	0.1	1000	0.01	0.1	10	0	0.08
[784, 30, 10]	0.1	1000	0.01	0.1	30	0	0.08
[784, 30, 10]	0.1	1000	0.01	0.5	10	0	0.08
[784, 30, 10]	0.1	1000	0.01	0.5	30	0	0.08
[784, 30, 10]	0.1	1000	0.01	0.9	10	0	0.08
[784, 30, 10]	0.1	1000	0.01	0.9	30	0	0.08
[784, 30, 10]	0.1	1000	0.1	0.0	10	0	0.15
[784, 30, 10]	0.1	1000	0.1	0.0	30	0	0.42
[784, 30, 10]	0.1	1000	0.1	0.1	10	0	0.08
[784, 30, 10]	0.1	1000	0.1	0.1	30	0	0.08
[784, 30, 10]	0.1	1000	0.1	0.5	10	0	0.08
[784, 30, 10]	0.1	1000	0.1	0.5	30	0	0.08
[784, 30, 10]	0.1	1000	0.1	0.9	10	0	0.08
[784, 30, 10]	0.1	1000	0.1	0.9	30	0	0.08
[784, 30, 10]	0.1	1000	1.0	0.0	10	0	0.2
[784, 30, 10]	0.1	1000	1.0	0.0	30	0	0.53
[784, 30, 10]	0.1	1000	1.0	0.1	10	0	0.08
[784, 30, 10]	0.1	1000	1.0	0.1	30	0	0.08
